submission_pk,User,EER
929039,Anonymous,0.12 (1),
929084,Anonymous,0.24 (2),
928808,Anonymous,0.78 (3),
928664,Anonymous,1.63 (4),
913412,Anonymous,1.79 (5),
928922,Anonymous,2.08 (6),
923838,Anonymous,2.17 (7),
928820,Anonymous,2.32 (8),
928681,Anonymous,2.93 (9),
922219,Anonymous,3.19 (10),
911072,Anonymous,3.23 (11),
924163,Anonymous,3.52 (12),
928077,Anonymous,4.18 (13),
928497,Anonymous,4.18 (13),
929175,Anonymous,4.66 (14),
928114,Anonymous,5.20 (15),
927686,Anonymous,5.45 (16),
928684,Anonymous,5.84 (17),
920048,Anonymous,5.98 (18),
916664,Anonymous,6.09 (19),
921710,Anonymous,6.10 (20),
907528,Anonymous,6.10 (20),
900425,Anonymous,6.10 (20),
929090,Anonymous,6.60 (21),
922711,Anonymous,7.09 (22),
915496,Anonymous,8.48 (23),
918317,Anonymous,8.74 (24),
928882,Anonymous,10.68 (25),
899927,Anonymous,11.61 (26),
921854,Anonymous,12.83 (27),
928748,Anonymous,15.31 (28),
928872,Anonymous,17.13 (29),
925056,Anonymous,17.42 (30),
900088,Anonymous,17.63 (31),
924138,Anonymous,17.84 (32),
920613,Anonymous,20.04 (33),
899952,Anonymous,21.01 (34),
915734,Anonymous,21.26 (35),
910165,Anonymous,21.64 (36),
913198,Anonymous,27.37 (37),
928059,Anonymous,29.65 (38),
925569,Anonymous,92.16 (39),
