submission_pk,User,Rank Target,Target AUC,Target AP,Target Recall at top-K,Rank Source,Source AUC,Source AP,Source Recall at top-K,Sentence-level Pearson's
966620,Raphael_NICT,1.000 (1),0.946 (1),0.867 (1),0.776 (1),1.000 (1),0.946 (1),0.850 (1),0.753 (1),0.918 (1),
967005,mtreviso2,2.000 (2),0.940 (2),0.844 (2),0.745 (2),2.000 (2),0.934 (2),0.813 (2),0.708 (2),0.868 (7),
966933,polak_pe,3.000 (3),0.935 (3),0.830 (3),0.728 (3),3.000 (3),0.933 (3),0.808 (3),0.695 (3),0.888 (6),
964891,mtreviso,4.000 (4),0.881 (4),0.783 (4),0.678 (4),5.000 (5),0.856 (5),0.727 (5),0.621 (5),0.896 (5),
966094,yukiar,5.000 (5),0.871 (5),0.759 (5),0.665 (5),4.000 (4),0.884 (4),0.750 (4),0.643 (4),0.756 (9),
966442,Gringham,6.000 (6),0.866 (6),0.728 (6),0.611 (6),6.000 (6),0.835 (6),0.606 (6),0.447 (6),0.777 (8),
967080,Tasnim,7.000 (7),0.734 (7),0.597 (7),0.486 (7),7.000 (7),0.724 (7),0.410 (7),0.373 (7),0.899 (3),
963275,melexi,8.667 (8),0.677 (8),0.505 (9),0.381 (9),11.000 (11),-1.000 (11),-1.000 (11),-1.000 (11),0.899 (4),
959821,yg211,9.667 (9),0.666 (9),0.438 (10),0.295 (10),9.000 (9),0.534 (8),0.292 (9),0.148 (10),0.695 (10),
960033,mfomicheva,8.667 (8),0.634 (10),0.523 (8),0.415 (8),8.667 (8),0.478 (10),0.351 (8),0.243 (8),0.899 (2),
959889,plj129,11.000 (10),0.516 (11),0.311 (11),0.187 (11),9.333 (10),0.500 (9),0.280 (10),0.150 (9),0.017 (11),
