submission_pk,User,score,operational cost,attention cost,Computation time
996447,xd_silly,57.45 (1),59.80 (1),51.94 (1),548.72 (10),
998127,SupremaciaChina,47.63 (2),54.69 (2),31.17 (2),1465.96 (17),
998128,maze-rl,46.81 (3),54.18 (3),29.61 (3),787.32 (15),
996441,IndigoSix,33.75 (4),45.57 (4),6.17 (4),768.10 (14),
996445,lujixiang,27.90 (5),42.21 (5),-5.50 (5),668.27 (12),
980413,qsrmlhj,10.94 (6),25.63 (6),-23.33 (6),215.29 (8),
993432,realcy,-2.85 (7),10.16 (10),-33.22 (7),801.71 (16),
980406,yanqing,-12.14 (8),18.22 (7),-83.00 (9),97.94 (7),
998126,shah.tapan.r,-28.87 (9),7.83 (11),-114.50 (10),1.80 (4),
998129,WillMaclean,-36.76 (10),-21.22 (14),-73.00 (8),677.04 (13),
996444,vakker,-41.55 (11),11.08 (8),-164.33 (12),555.43 (11),
961337,adriankelly1,-45.26 (12),10.34 (9),-175.00 (13),1.11 (3),
992919,demondemo,-48.51 (13),5.70 (12),-175.00 (13),412.41 (9),
980405,cmcm,-60.00 (14),0.00 (13),-200.00 (14),0.67 (1),
980403,BDonnot,-60.00 (14),0.00 (13),-200.00 (14),0.68 (2),
992873,xinzhixu,-72.34 (15),-52.32 (15),-119.06 (11),2.49 (5),
996446,Liuxiaoming,-110.81 (16),-72.59 (16),-200.00 (14),9.68 (6),
