submission_pk,User,Mean,Vehicle,Pedestrian,Cyclist
984671,basedet,85.12 (1),88.38 (1),84.45 (1),82.52 (1),
984847,zzhxyw,82.89 (2),85.45 (3),83.54 (2),79.69 (2),
1081541,W.P.Xiao,79.73 (3),86.64 (2),74.71 (6),77.84 (5),
985059,FangJin,79.55 (4),83.96 (4),78.22 (3),76.48 (7),
984849,sslad-hiker,79.09 (5),82.99 (7),76.08 (4),78.20 (3),
982243,hailanyi,78.65 (6),83.02 (6),74.81 (5),78.11 (4),
983714,pickle,76.91 (7),83.71 (5),70.49 (7),76.52 (6),
984164,gogogo001,72.10 (8),82.04 (8),62.10 (9),72.17 (9),
984790,snowlake,71.62 (9),78.35 (12),64.30 (8),72.23 (8),
966788,maudung164,69.25 (10),79.28 (10),56.41 (12),72.07 (10),
983331,jiangtao,69.23 (11),78.35 (12),59.04 (11),70.30 (12),
983478,zyxcambridge,69.12 (12),76.55 (15),61.52 (10),69.29 (15),
984544,czy666,67.75 (13),79.10 (11),52.97 (14),71.17 (11),
973531,teja_vsd,67.55 (14),79.93 (9),52.79 (15),69.94 (13),
1105267,SeanZhang,66.04 (15),78.34 (13),50.00 (17),69.79 (14),
1093849,mrq_rs,65.66 (16),72.41 (16),55.30 (13),69.28 (16),
980841,qinchuan,62.20 (17),68.06 (18),52.36 (16),66.18 (17),
977866,Michael.CV,55.16 (18),77.13 (14),25.72 (18),62.63 (18),
984301,r1cksan3chez,23.79 (19),71.37 (17),0.00 (19),0.00 (19),
966676,sslad2021,0.00 (20),0.00 (19),0.00 (19),0.00 (19),
