submission_pk,User,AUC,AP@tIoU0.5,AR@2
971236,DiDi_SSTG,0.00000 (1),0.31026 (9),0.48569 (3),
971223,HfrCN,0.00000 (1),0.31215 (8),0.49678 (2),
971110,PRC_hzh,0.00000 (1),0.09874 (12),0.23585 (8),
971098,Huang96,0.00000 (1),0.17637 (10),0.22717 (9),
971058,fangmingqi,0.00000 (1),0.08919 (13),0.27540 (7),
970987,asdfqwer,0.00000 (1),0.59224 (1),0.53135 (1),
970640,ff123,0.00000 (1),0.12244 (11),0.00000 (15),
969382,sgai_lab,0.00000 (1),0.50096 (3),0.47781 (4),
968082,silver_cherry,0.00000 (1),0.50253 (2),0.45772 (5),
967619,BJTU_Lenovo_Group,0.00000 (1),0.39157 (5),0.32476 (6),
967565,juejue,0.00000 (1),0.05274 (14),0.21913 (10),
967561,GuilinPang,0.00000 (1),0.35318 (7),0.17846 (12),
963155,hzm,0.00000 (1),0.36031 (6),0.18842 (11),
959349,MasterMirror,0.00000 (1),0.05210 (15),0.21913 (10),
958333,Ricardozzf,0.00000 (1),0.41864 (4),0.15579 (13),
955602,Iverson,0.00000 (1),0.00114 (16),0.01945 (14),
