submission_pk,User,< Rank >,Pearson r,RMSE,MAE,Disk Footprint (Bytes),Model Params
940449,joanne.wjy,2.80 (1),0.6787 (1),0.7293 (2),0.5635 (1),2244030744.0 (5),560981507.0 (5),
933410,hantae.kim,6.40 (7),0.6616 (2),0.8147 (8),0.6407 (8),2503797760.0 (7),611278859.0 (7),
940212,HW-TSC,4.00 (2),0.6590 (3),0.7441 (5),0.5782 (4),2243941083.0 (4),560941057.0 (4),
952314,kw,4.00 (2),0.6509 (4),0.7334 (3),0.5745 (3),2244030744.0 (5),560981507.0 (5),
940518,IST-Unbabel,4.80 (3),0.6504 (5),0.7214 (1),0.5682 (2),4872322439.0 (8),1214683792.0 (8),
933805,gregor_geigle,5.40 (5),0.6388 (6),0.7396 (4),0.5851 (5),2382759964.0 (6),595689991.0 (6),
933011,Inmon,5.40 (5),0.6301 (7),0.7649 (6),0.5990 (6),2243941083.0 (4),560941057.0 (4),
938933,shaun.lim,6.00 (6),0.6251 (8),0.8788 (9),0.6928 (9),1249902592.0 (2),297974795.0 (2),
940552,fblain,5.00 (4),0.5623 (9),0.7876 (7),0.6141 (7),1142413043.0 (1),281291535.0 (1),
939582,shakedme,7.20 (8),0.4089 (10),1.0568 (10),0.8296 (10),1886937088.0 (3),471716864.0 (3),
