submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
940324,HW-TSC,1.60 (1),0.3801 (1),0.5016 (1),0.8640 (2),2243954093.0 (2),560944640.0 (2),
940625,IST-Unbabel,2.20 (2),0.3757 (2),0.4931 (2),0.8647 (1),2294887576.0 (3),569368609.0 (3),
940583,fblain,2.20 (2),0.2730 (3),0.4543 (3),0.8187 (3),1142441796.0 (1),281297685.0 (1),
submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
940324,HW-TSC,1.80 (1),0.2126 (1),0.1884 (1),0.9453 (3),2243954093.0 (2),560944640.0 (2),
940625,IST-Unbabel,2.40 (2),0.1246 (2),0.1434 (2),0.9811 (2),2294887576.0 (3),569368609.0 (3),
940583,fblain,1.80 (1),0.0388 (3),0.0541 (3),0.9826 (1),1142441796.0 (1),281297685.0 (1),
submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
940324,HW-TSC,1.40 (1),0.3128 (1),0.4260 (1),0.8856 (1),2243954093.0 (2),560944640.0 (2),
940625,IST-Unbabel,2.40 (3),0.2941 (2),0.4102 (2),0.8826 (2),2294887576.0 (3),569368609.0 (3),
940583,fblain,2.20 (2),0.2235 (3),0.3620 (3),0.8615 (3),1142441796.0 (1),281297685.0 (1),
