submission_pk,User,norec,multibooked_ca,multibooked_eu,opener_en,opener_es,mpqa,darmstadt_unis,Average score
1087585,zhixiaobao,0.529 (2),0.728 (1),0.739 (1),0.760 (2),0.722 (4),0.447 (1),0.494 (1),0.631 (1),
1087519,Cong666,0.524 (3),0.728 (1),0.739 (1),0.763 (1),0.742 (1),0.416 (2),0.485 (2),0.628 (2),
1084162,gmorio,0.533 (1),0.709 (3),0.715 (3),0.756 (3),0.732 (3),0.402 (3),0.463 (3),0.616 (3),
1088260,colorful,0.504 (4),0.681 (6),0.723 (2),0.747 (4),0.735 (2),0.375 (5),0.410 (9),0.596 (4),
1088297,whu_stone,0.483 (8),0.711 (2),0.681 (6),0.727 (5),0.686 (7),0.379 (4),0.373 (13),0.577 (5),
1086606,KE_AI,0.483 (8),0.711 (2),0.681 (6),0.727 (5),0.686 (7),0.364 (7),0.373 (13),0.575 (6),
1087890,Fadi,0.484 (7),0.704 (4),0.703 (4),0.725 (6),0.698 (5),0.254 (20),0.420 (5),0.570 (7),
1079593,lys_acoruna,0.462 (9),0.653 (9),0.680 (7),0.698 (9),0.692 (6),0.349 (10),0.414 (8),0.564 (8),
1084315,QiZhang,0.496 (5),0.684 (5),0.686 (5),0.676 (10),0.623 (11),0.351 (8),0.409 (10),0.561 (9),
1095834,luxinyu,0.487 (6),0.658 (8),0.651 (9),0.710 (7),0.669 (8),0.269 (19),0.416 (7),0.551 (10),
1086584,rafalposwiata,0.459 (10),0.650 (10),0.653 (8),0.670 (11),0.663 (9),0.326 (13),0.395 (12),0.545 (11),
1087594,evanyfyang,0.213 (21),0.635 (12),0.639 (10),0.703 (8),0.642 (10),0.350 (9),0.449 (4),0.519 (12),
1086477,robvanderg,0.366 (12),0.648 (11),0.605 (11),0.632 (14),0.614 (13),0.296 (16),0.344 (14),0.501 (13),
1088261,psarangi,0.343 (15),0.634 (13),0.559 (12),0.634 (13),0.595 (14),0.283 (17),0.320 (17),0.481 (14),
1087586,chx.dou,0.395 (11),0.583 (14),0.506 (13),0.626 (15),0.622 (12),0.309 (14),0.280 (20),0.474 (15),
1087655,zaizhep,0.329 (16),0.525 (15),0.478 (17),0.623 (16),0.539 (16),0.367 (6),0.342 (15),0.458 (16),
1087448,janpf,0.280 (18),0.517 (17),0.439 (19),0.651 (12),0.504 (17),0.338 (11),0.417 (6),0.449 (17),
1088151,etms.kgp,0.351 (13),0.508 (18),0.438 (20),0.626 (15),0.544 (15),0.327 (12),0.330 (16),0.446 (18),
1083690,jylong,0.323 (17),0.474 (20),0.504 (14),0.476 (17),0.375 (21),0.274 (18),0.223 (22),0.379 (19),
1083544,ouzh,0.323 (17),0.474 (20),0.504 (14),0.476 (17),0.375 (21),0.274 (18),0.223 (22),0.378 (20),
1083400,SPDB_Innovation_Lab,0.346 (14),0.470 (21),0.486 (16),0.466 (18),0.356 (22),0.299 (15),0.223 (22),0.378 (20),
1095966,lucasrafaelc,0.270 (19),0.521 (16),0.463 (18),0.452 (19),0.427 (19),0.217 (21),0.242 (21),0.370 (21),
1071772,foodchup,0.265 (20),0.493 (19),0.491 (15),0.415 (20),0.480 (18),0.149 (22),0.139 (24),0.347 (22),
1087993,jzh1qaz,0.186 (24),0.431 (22),0.385 (21),0.367 (21),0.393 (20),0.055 (23),0.305 (19),0.303 (23),
1087356,hades_d,0.504 (4),0.678 (7),0.000 (25),0.000 (25),0.000 (26),0.375 (5),0.400 (11),0.280 (24),
1082718,huyenbui117,0.194 (22),0.341 (23),0.374 (22),0.316 (23),0.245 (25),0.009 (26),0.053 (26),0.219 (25),
1081726,karun842002,0.191 (23),0.323 (24),0.331 (23),0.306 (24),0.257 (24),0.015 (25),0.104 (25),0.218 (26),
1088254,gerarld,0.000 (25),0.269 (25),0.303 (24),0.354 (22),0.321 (23),0.019 (24),0.180 (23),0.207 (27),
1086062,michael_wzhu91,0.000 (25),0.000 (26),0.000 (25),0.000 (25),0.000 (26),0.000 (27),0.306 (18),0.044 (28),
1087741,normalkim,0.000 (25),0.000 (26),0.000 (25),0.000 (25),0.000 (26),0.000 (27),0.000 (27),0.000 (29),
1082762,UniParma,0.000 (25),0.000 (26),0.000 (25),0.000 (25),0.000 (26),0.000 (27),0.000 (27),0.000 (29),
1080672,whu_venti,0.000 (25),0.000 (26),0.000 (25),0.000 (25),0.000 (26),0.000 (27),0.000 (27),0.000 (29),
