submission_pk,User,Loss
1014303,LearningByDoing,111.000 (1),
980629,shaurya23,111.000 (1),
980615,KunWu,111.000 (1),
980245,Ajoo,111.000 (1),
979812,TeamQ,111.000 (1),
978095,jmunozb,111.000 (1),
976405,xuzhiyuan1528,111.000 (1),
975078,alse426,111.000 (1),
972585,bkleiner,111.000 (1),
971091,zzzz1852,111.000 (1),
970288,zhaoyinuo,111.000 (1),
968535,ewqds,111.000 (1),
967838,leo.li,111.000 (1),
967041,res123,111.000 (1),
966476,TheBaxes,111.000 (1),
964863,syeehyn06,111.000 (1),
962465,Sambhaw,111.000 (1),
962453,zaansari,111.000 (1),
960382,gemst1,111.000 (1),
959515,jiekie,111.000 (1),
958396,xingzhesun,111.000 (1),
957841,hansolo,111.000 (1),
957658,pmjindal,111.000 (1),
954594,zzgsam,111.000 (1),
952936,GodofWar,111.000 (1),
952653,cmpatino,111.000 (1),
949806,Ag2S,111.000 (1),
948078,AbhiG,111.000 (1),
