submission_pk,User,Precision,Recall,F1_Score
1047396,sua,0.7316 (1),0.8492 (1),0.7860 (1),
1065488,sirwe.saeedi,0.7131 (2),0.4372 (22),0.5421 (10),
1045732,tushar-gautam,0.6948 (3),0.5377 (16),0.6062 (6),
1054607,Wanderer,0.6687 (4),0.5578 (15),0.6082 (5),
1065961,thetundraman,0.6329 (5),0.6583 (9),0.6453 (2),
1053260,valuable,0.6220 (6),0.6533 (10),0.6373 (3),
1032011,rohanleekha,0.6106 (7),0.3467 (23),0.4423 (21),
1054989,Waad,0.6077 (8),0.6382 (11),0.6225 (4),
1056075,AliEdalat,0.5950 (9),0.5980 (13),0.5965 (7),
1058011,Diana-Jinghua-Mourhaf,0.5115 (10),0.6683 (8),0.5795 (8),
1047498,CuteNoobie,0.5052 (11),0.4874 (19),0.4962 (15),
1047281,tianzhuanJAVA,0.4858 (12),0.6030 (12),0.5381 (11),
1047270,sapa4478,0.4847 (13),0.6382 (11),0.5510 (9),
1037279,sampugh,0.4612 (14),0.5678 (14),0.5090 (13),
1064070,zz,0.4335 (15),0.5075 (18),0.4676 (18),
1046260,sonpham,0.4190 (16),0.4422 (21),0.4303 (22),
1064935,MananSuri27,0.4121 (17),0.7538 (5),0.5329 (12),
1058374,Iordanis,0.3698 (18),0.7638 (4),0.4984 (14),
1045466,tiph0401,0.3663 (19),0.1859 (24),0.2467 (25),
1045190,BigTomato,0.3603 (20),0.7387 (6),0.4843 (16),
1041305,bhattsahil1,0.3522 (21),0.6884 (7),0.4660 (19),
1037229,roberta-baseline,0.3499 (22),0.7789 (3),0.4829 (17),
1060714,yes_commander,0.3113 (23),0.5678 (14),0.4021 (23),
1035923,AlviIshmam,0.3097 (24),0.8342 (2),0.4517 (20),
1047423,sreenivasarvind,0.2323 (25),0.4623 (20),0.3092 (24),
1033013,random-baseline,0.1040 (26),0.5226 (17),0.1735 (26),
1065237,lnb,0.1019 (27),0.5377 (16),0.1713 (27),
1056446,mahangchao,- (28),- (25),- (28),
1047247,bbnlp,- (28),- (25),- (28),
1046863,blingbling,- (28),- (25),- (28),
1044807,rao_ailneni,- (28),- (25),- (28),
1045405,ivga6555,- (28),- (25),- (28),
1037811,dut_laowang,- (28),- (25),- (28),
1033743,isarthak,- (28),- (25),- (28),
submission_pk,User,Unbalaced_Power_Relations,Shallow_Solution,Presupposition,Authority_Voice,Metaphor,Compassion,The_poorer_the_merrier,Average
1053260,valuable,0.5887 (1),0.3871 (2),0.4035 (1),0.3077 (1),0.3500 (3),0.4646 (2),0.4706 (2),0.4246 (1),
1046863,blingbling,0.5360 (2),0.3188 (5),0.3000 (5),0.2182 (2),0.3377 (4),0.4048 (4),0.2667 (3),0.3403 (4),
1056075,AliEdalat,0.5328 (3),0.2921 (6),0.3529 (2),0.2171 (4),0.4557 (2),0.5565 (1),0.1667 (6),0.3677 (3),
1037279,sampugh,0.5143 (4),0.3571 (3),0.1923 (8),0.1818 (7),0.2366 (6),0.3556 (7),0.1176 (7),0.2793 (6),
1065961,thetundraman,0.4835 (5),0.3214 (4),0.1852 (9),0.1758 (8),0.2319 (7),0.4603 (3),0.0000 (10),0.2654 (7),
1054989,Waad,0.4299 (6),0.2151 (8),0.3048 (3),0.1923 (6),0.2857 (5),0.3887 (6),0.2000 (4),0.2881 (5),
1064935,MananSuri27,0.4127 (7),0.1795 (10),0.2596 (7),0.1935 (5),0.2214 (8),0.3469 (8),0.1818 (5),0.2565 (8),
1058011,Diana-Jinghua-Mourhaf,0.4060 (8),0.0000 (14),0.0000 (14),0.0000 (13),0.0000 (13),0.2857 (14),0.0000 (10),0.0988 (14),
1035923,AlviIshmam,0.3746 (9),0.0000 (14),0.0000 (14),0.0000 (13),0.0000 (13),0.3896 (5),0.0000 (10),0.1092 (13),
1045405,ivga6555,0.3682 (10),0.1613 (11),0.0548 (12),0.1132 (9),0.1311 (9),0.2270 (15),0.2667 (3),0.1889 (9),
1045190,BigTomato,0.3612 (11),0.2667 (7),0.0000 (14),0.0000 (13),0.0000 (13),0.3315 (10),0.0000 (10),0.1371 (10),
1037229,roberta-baseline,0.3535 (12),0.0000 (14),0.2963 (6),0.0000 (13),0.0000 (13),0.2878 (13),0.0000 (10),0.1340 (11),
1041305,bhattsahil1,0.3285 (13),0.0000 (14),0.0000 (14),0.0000 (13),0.0000 (13),0.2976 (11),0.0000 (10),0.0894 (16),
1060714,yes_commander,0.3031 (14),0.0000 (14),0.0000 (14),0.0000 (13),0.0000 (13),0.3383 (9),0.0000 (10),0.0916 (15),
1058374,Iordanis,0.2783 (15),0.0000 (14),0.0000 (14),0.0000 (13),0.0000 (13),0.2959 (12),0.0000 (10),0.0820 (17),
1056446,mahangchao,0.2241 (16),0.2041 (9),0.0674 (10),0.0849 (10),0.0345 (12),0.2055 (17),0.0000 (10),0.1172 (12),
1054607,Wanderer,0.2035 (17),0.3931 (1),0.3003 (4),0.2179 (3),0.7934 (1),0.2178 (16),0.8000 (1),0.4180 (2),
1033013,random-baseline,0.1130 (18),0.0323 (13),0.0509 (13),0.0322 (11),0.0604 (10),0.0821 (18),0.0131 (8),0.0548 (18),
1065237,lnb,0.1014 (19),0.0351 (12),0.0608 (11),0.0315 (12),0.0530 (11),0.0695 (19),0.0111 (9),0.0518 (19),
1065488,sirwe.saeedi,- (20),- (15),- (15),- (14),- (14),- (20),- (11),- (20),
1064070,zz,- (20),- (15),- (15),- (14),- (14),- (20),- (11),- (20),
1032011,rohanleekha,- (20),- (15),- (15),- (14),- (14),- (20),- (11),- (20),
1047498,CuteNoobie,- (20),- (15),- (15),- (14),- (14),- (20),- (11),- (20),
1047423,sreenivasarvind,- (20),- (15),- (15),- (14),- (14),- (20),- (11),- (20),
1047396,sua,- (20),- (15),- (15),- (14),- (14),- (20),- (11),- (20),
1047281,tianzhuanJAVA,- (20),- (15),- (15),- (14),- (14),- (20),- (11),- (20),
1047270,sapa4478,- (20),- (15),- (15),- (14),- (14),- (20),- (11),- (20),
1045466,tiph0401,- (20),- (15),- (15),- (14),- (14),- (20),- (11),- (20),
1047247,bbnlp,- (20),- (15),- (15),- (14),- (14),- (20),- (11),- (20),
1046260,sonpham,- (20),- (15),- (15),- (14),- (14),- (20),- (11),- (20),
1045732,tushar-gautam,- (20),- (15),- (15),- (14),- (14),- (20),- (11),- (20),
1044807,rao_ailneni,- (20),- (15),- (15),- (14),- (14),- (20),- (11),- (20),
1037811,dut_laowang,- (20),- (15),- (15),- (14),- (14),- (20),- (11),- (20),
1033743,isarthak,- (20),- (15),- (15),- (14),- (14),- (20),- (11),- (20),
