submission_pk,User,TEST AUC,TEST SENS.,TEST SPEC.,AVG. VAL AUC
987187,mynamenotdrew,81.97 (1),36.67 (4),95.13 (1),75.57 (9),
976160,truonghoang,81.21 (2),48.33 (1),95.13 (1),77.18 (7),
985334,Juteryuan,80.12 (3),35.00 (5),95.13 (1),89.04 (3),
986451,Ritwik2706,79.06 (4),35.00 (5),95.13 (1),74.13 (13),
974544,meoconxinhxan,77.85 (5),46.67 (2),95.13 (1),49.31 (18),
986170,deepak242424,77.60 (6),33.33 (6),95.13 (1),77.49 (6),
977658,arbitrary,76.98 (7),25.00 (10),95.13 (1),78.60 (4),
980874,qinchen13579,76.36 (8),30.00 (8),95.13 (1),78.12 (5),
984111,zhanghengjing2,75.95 (9),28.33 (9),95.13 (1),74.58 (11),
977816,AICubes,75.71 (10),35.00 (5),95.13 (1),75.98 (8),
985972,dicova,74.89 (11),36.67 (4),95.13 (1),75.21 (10),
987085,evaluation,74.63 (12),31.67 (7),95.13 (1),71.32 (16),
984640,I_SPY_AI,74.15 (13),35.00 (5),95.13 (1),59.13 (17),
979173,jharvill23,70.34 (14),33.33 (6),95.13 (1),72.20 (15),
985784,EIHW-MTG,68.76 (15),16.67 (11),95.13 (1),74.48 (12),
974898,KenWu,62.79 (16),43.33 (3),80.54 (3),99.75 (2),
987131,Team_the_north,60.89 (17),13.33 (12),95.13 (1),72.70 (14),
978001,sarajarvis,49.55 (18),8.33 (13),91.48 (2),100.00 (1),
