submission_pk,User,<Rank>,Instance F1,Overall micro-F1,Aggression micro-F1,Gender Bias micro-F1,Communal Bias micro-F1
1031807,Anonymous,1.0000 (7),0.368 (1),0.713 (1),0.532 (1),0.771 (1),0.834 (1),
1031800,Anonymous,3.0000 (6),0.319 (2),0.684 (3),0.510 (3),0.718 (4),0.823 (2),
1031812,Anonymous,3.5000 (5),0.296 (3),0.666 (4),0.479 (4),0.725 (3),0.795 (4),
1031808,Anonymous,5.0000 (4),0.258 (4),0.631 (5),0.412 (6),0.690 (5),0.792 (5),
1031793,Anonymous,5.5000 (3),0.233 (5),0.615 (6),0.447 (5),0.671 (6),0.728 (7),
1031802,Anonymous,7.0000 (2),0.154 (6),0.585 (7),0.354 (8),0.619 (7),0.782 (6),
1031815,Anonymous,7.5000 (1),0.019 (7),0.284 (8),0.374 (7),0.276 (8),0.204 (8),
1031811,Anonymous,3.5000 (5),0.000 (8),0.700 (2),0.528 (2),0.764 (2),0.809 (3),
submission_pk,User,<Rank>,Instance F1,Overall micro-F1,Aggression micro-F1,Gender Bias micro-F1,Communal Bias micro-F1
1031812,Anonymous,1.7500 (6),0.299 (1),0.664 (2),0.443 (2),0.712 (2),0.838 (3),
1031808,Anonymous,3.2500 (4),0.267 (2),0.625 (3),0.344 (5),0.682 (3),0.849 (2),
1031800,Anonymous,3.7500 (3),0.129 (3),0.472 (4),0.372 (4),0.609 (4),0.435 (4),
1031815,Anonymous,4.2500 (2),0.007 (4),0.279 (5),0.388 (3),0.311 (5),0.138 (5),
1031811,Anonymous,2.0000 (5),0.000 (5),0.690 (1),0.484 (1),0.716 (1),0.871 (1),
1031807,Anonymous,6.0000 (1),- (6),- (6),- (6),- (6),- (6),
1031802,Anonymous,6.0000 (1),- (6),- (6),- (6),- (6),- (6),
1031793,Anonymous,6.0000 (1),- (6),- (6),- (6),- (6),- (6),
submission_pk,User,<Rank>,Instance F1,Overall micro-F1,Aggression micro-F1,Gender Bias micro-F1,Communal Bias micro-F1
1031812,Anonymous,1.7500 (4),0.242 (1),0.684 (2),0.435 (2),0.729 (2),0.886 (1),
1031800,Anonymous,2.7500 (3),0.228 (2),0.587 (3),0.433 (3),0.691 (3),0.637 (3),
1031815,Anonymous,3.7500 (2),0.006 (3),0.279 (4),0.415 (4),0.313 (4),0.110 (4),
1031811,Anonymous,1.7500 (4),0.000 (4),0.716 (1),0.494 (1),0.770 (1),0.883 (2),
1031807,Anonymous,5.0000 (1),- (5),- (5),- (5),- (5),- (5),
1031802,Anonymous,5.0000 (1),- (5),- (5),- (5),- (5),- (5),
1031808,Anonymous,5.0000 (1),- (5),- (5),- (5),- (5),- (5),
1031793,Anonymous,5.0000 (1),- (5),- (5),- (5),- (5),- (5),
submission_pk,User,<Rank>,Instance F1,Overall micro-F1,Aggression micro-F1,Gender Bias micro-F1,Communal Bias micro-F1
1031800,Anonymous,2.0000 (7),0.336 (1),0.683 (2),0.555 (3),0.784 (2),0.709 (1),
1031812,Anonymous,2.5000 (5),0.273 (2),0.668 (3),0.584 (2),0.768 (3),0.652 (4),
1031808,Anonymous,3.7500 (4),0.263 (3),0.629 (4),0.479 (4),0.726 (4),0.682 (3),
1031802,Anonymous,5.0000 (3),0.161 (4),0.582 (5),0.402 (6),0.702 (5),0.642 (5),
1031815,Anonymous,5.5000 (2),0.047 (5),0.335 (6),0.440 (5),0.204 (6),0.361 (6),
1031811,Anonymous,2.2500 (6),0.000 (6),0.697 (1),0.606 (1),0.801 (1),0.683 (2),
1031807,Anonymous,7.0000 (1),- (7),- (7),- (7),- (7),- (7),
1031793,Anonymous,7.0000 (1),- (7),- (7),- (7),- (7),- (7),
