submission_pk,User,F1,Precision,Recall
1037530,ChenGuimin,0.874 (1),0.862 (4),0.887 (1),
1061665,pvf,0.873 (2),0.866 (2),0.880 (2),
1065663,jplu,0.870 (3),0.868 (1),0.874 (4),
1084767,detective,0.869 (4),0.863 (3),0.876 (3),
1021141,alphago,0.850 (5),0.849 (5),0.853 (6),
1073675,emanuela.boros,0.843 (6),0.843 (6),0.842 (8),
1064098,zackchen,0.839 (7),0.820 (8),0.860 (5),
1078271,ssong,0.828 (8),0.807 (9),0.852 (7),
1091222,aapop,0.824 (9),0.821 (7),0.829 (10),
1032348,Wolk1612,0.812 (10),0.795 (10),0.831 (9),
1047016,goga,0.758 (11),0.731 (12),0.788 (11),
1030861,multiconer_codalab_2022,0.753 (12),0.743 (11),0.764 (12),
