submission_pk,User,mAP,AP50,AP75,AR1,AR10,APso,APmo,APho
1100858,timi,42.57 (1),65.67 (1),45.18 (1),17.89 (2),49.63 (1),58.77 (2),49.61 (1),19.26 (1),
1133652,deahuang,38.83 (2),61.02 (2),40.58 (2),18.36 (1),42.47 (3),63.83 (1),45.80 (2),17.70 (3),
1129709,Anwesa,38.22 (3),60.67 (3),39.45 (3),17.67 (3),44.07 (2),57.52 (3),43.19 (3),18.66 (2),
1147424,tmp_user,34.19 (4),57.14 (4),36.36 (4),16.08 (4),38.68 (4),53.73 (4),39.02 (4),15.12 (4),
1098891,tum_adria,23.89 (5),45.99 (5),22.70 (5),12.77 (5),28.59 (5),44.13 (5),28.20 (5),8.40 (5),
1023638,LI-Minghan,19.73 (6),39.77 (6),16.96 (6),10.77 (6),26.74 (7),32.32 (6),23.99 (6),5.66 (6),
1082490,dancer,17.75 (7),35.92 (7),16.26 (7),10.20 (9),24.41 (8),31.85 (7),18.31 (9),4.24 (11),
1091054,emibr12,16.29 (8),32.80 (9),14.56 (8),10.34 (8),21.66 (10),26.53 (12),19.36 (7),4.55 (10),
1091890,Joakim,15.81 (9),32.10 (10),13.90 (9),9.41 (12),20.62 (11),26.75 (11),17.96 (10),5.05 (7),
1066817,lpw147,15.42 (10),33.89 (8),13.06 (11),9.26 (14),20.03 (12),28.43 (10),18.50 (8),4.11 (12),
1021394,qjy,15.42 (10),33.89 (8),13.06 (11),9.26 (14),20.03 (12),28.43 (10),18.50 (8),4.11 (12),
1037758,yysy,15.10 (11),31.90 (12),13.76 (10),10.41 (7),27.13 (6),20.92 (14),15.99 (13),4.76 (9),
1107991,Colin95,14.87 (12),32.02 (11),12.91 (12),9.59 (11),19.70 (13),29.46 (9),17.00 (11),3.89 (13),
1109369,yurancqu,14.22 (13),30.03 (13),12.60 (13),9.66 (10),19.51 (14),29.52 (8),16.15 (12),3.45 (14),
1102346,higher_power,13.26 (14),29.91 (14),10.43 (14),9.30 (13),21.88 (9),21.45 (13),12.96 (14),5.01 (8),
1097938,miranheo,8.59 (15),21.75 (15),6.77 (15),6.60 (15),17.72 (15),15.85 (15),9.21 (15),1.87 (15),
