submission_pk,User,SUM,Bleu(4),METEOR,ROUGE_L,CIDEr
1040503,D01,1.00571 (1),0.14290 (4),0.15873 (3),0.36557 (1),0.33851 (3),
1034279,S12,1.00361 (2),0.16053 (1),0.15230 (13),0.35101 (9),0.33977 (2),
1031019,D02,0.99977 (3),0.15707 (2),0.15257 (12),0.35357 (6),0.33656 (5),
1042940,A07,0.98521 (4),0.15211 (3),0.14460 (23),0.31031 (40),0.37818 (1),
1042370,S7,0.98396 (5),0.13957 (6),0.15891 (2),0.35523 (5),0.33025 (7),
1025248,D3,0.96667 (6),0.13493 (11),0.15634 (6),0.34311 (18),0.33229 (6),
1044568,A14,0.96121 (7),0.11425 (26),0.16085 (1),0.34831 (10),0.33779 (4),
1039267,A16,0.95263 (8),0.12866 (18),0.15336 (9),0.34461 (14),0.32600 (8),
1040527,S10,0.95159 (9),0.14113 (5),0.15410 (8),0.35613 (4),0.30024 (17),
1032619,D_09,0.95069 (10),0.13602 (10),0.15274 (11),0.35284 (8),0.30909 (11),
1042182,S11,0.94780 (11),0.12940 (16),0.15681 (4),0.35320 (7),0.30839 (12),
1040605,S17,0.94365 (12),0.13920 (7),0.15329 (10),0.35712 (3),0.29404 (20),
1044562,S13,0.94124 (13),0.12751 (19),0.15030 (18),0.34793 (11),0.31550 (9),
1044277,A06,0.93974 (14),0.13057 (15),0.15676 (5),0.34700 (12),0.30542 (14),
1045801,D05,0.93746 (15),0.13235 (12),0.15104 (17),0.34387 (15),0.31020 (10),
1040757,D6,0.93397 (16),0.13690 (8),0.14837 (20),0.34203 (19),0.30668 (13),
1047294,A23.c,0.93190 (17),0.12725 (20),0.15435 (7),0.35880 (2),0.29151 (21),
1044403,A20,0.92714 (18),0.13175 (13),0.15146 (16),0.34346 (17),0.30048 (16),
1036385,A22,0.92690 (19),0.13685 (9),0.14766 (21),0.33848 (21),0.30392 (15),
1045145,A9,0.92304 (20),0.13143 (14),0.15158 (15),0.34355 (16),0.29648 (19),
1022204,S18,0.90958 (21),0.12426 (21),0.15200 (14),0.34543 (13),0.28788 (23),
1045283,AI-Group19,0.90733 (22),0.12880 (17),0.14929 (19),0.34076 (20),0.28847 (22),
1045223,A04,0.87457 (23),0.10994 (27),0.14445 (24),0.32147 (25),0.29871 (18),
1039204,A5,0.86111 (24),0.12020 (23),0.14519 (22),0.33123 (22),0.26449 (26),
1038948,D8,0.86108 (25),0.12032 (22),0.14115 (25),0.32724 (23),0.27238 (25),
1044432,A26,0.82949 (26),0.11438 (25),0.13962 (26),0.32552 (24),0.24998 (28),
1037428,S15,0.80668 (27),0.09986 (30),0.13949 (28),0.31722 (27),0.25011 (27),
1042264,S8,0.79897 (28),0.11904 (24),0.11672 (56),0.28823 (55),0.27498 (24),
1021173,Sgroup16,0.79609 (29),0.09691 (36),0.13945 (29),0.31906 (26),0.24067 (32),
1039043,A12,0.79517 (30),0.09808 (34),0.13637 (37),0.31537 (30),0.24535 (30),
1041400,A24,0.79384 (31),0.10033 (29),0.13878 (31),0.31478 (31),0.23995 (33),
1030584,S09,0.79038 (32),0.09032 (43),0.13725 (34),0.31699 (28),0.24581 (29),
1044025,S02,0.78808 (33),0.09847 (33),0.13879 (30),0.31281 (36),0.23801 (34),
1042510,A18,0.78685 (34),0.09902 (31),0.13703 (35),0.31388 (35),0.23691 (35),
1021538,S05PSY,0.78291 (35),0.09891 (32),0.13630 (38),0.31441 (32),0.23330 (36),
1039052,S14,0.78249 (36),0.09786 (35),0.13413 (43),0.30638 (46),0.24412 (31),
1049899,D_Group10,0.78234 (37),0.10049 (28),0.13656 (36),0.31563 (29),0.22966 (40),
1042236,A-Group21,0.77434 (38),0.09318 (39),0.13961 (27),0.31134 (38),0.23021 (38),
1040625,A17,0.77379 (39),0.09151 (42),0.13810 (33),0.31404 (34),0.23014 (39),
1039226,Aclass1group1,0.77220 (40),0.09355 (38),0.13594 (39),0.31134 (38),0.23136 (37),
1036270,S06,0.77106 (41),0.09660 (37),0.13483 (41),0.31165 (37),0.22797 (41),
1029343,A28,0.76353 (42),0.09223 (40),0.13478 (42),0.30987 (41),0.22665 (42),
1045291,A27,0.76237 (43),0.08700 (50),0.13821 (32),0.31415 (33),0.22300 (43),
1041033,A15,0.75030 (44),0.09168 (41),0.13409 (44),0.31121 (39),0.21332 (51),
1040724,sss_1,0.74824 (45),0.08890 (47),0.13515 (40),0.30939 (42),0.21480 (49),
1040428,A13,0.74608 (46),0.08834 (48),0.13224 (47),0.30730 (45),0.21820 (45),
1042190,A10,0.74452 (47),0.08989 (44),0.13125 (49),0.30595 (47),0.21742 (48),
1042145,A8,0.74325 (48),0.08967 (46),0.13095 (51),0.30830 (43),0.21434 (50),
1043448,S03,0.73616 (49),0.08648 (51),0.13122 (50),0.30061 (50),0.21785 (47),
1036471,D7,0.73517 (50),0.08708 (49),0.13312 (46),0.30824 (44),0.20672 (53),
1043313,S04-J,0.73273 (51),0.08078 (53),0.13341 (45),0.29884 (52),0.21971 (44),
1044912,A11,0.72621 (52),0.08978 (45),0.13036 (53),0.29735 (54),0.20872 (52),
1028579,A03,0.71932 (53),0.07109 (56),0.13193 (48),0.29816 (53),0.21813 (46),
1036845,A_G02,0.71316 (54),0.08087 (52),0.13075 (52),0.30489 (48),0.19665 (55),
1032316,D04,0.70660 (55),0.07764 (54),0.13026 (54),0.30347 (49),0.19523 (56),
1032641,A25,0.70500 (56),0.07640 (55),0.12890 (55),0.29954 (51),0.20016 (54),
