submission_pk,User,By Answer Type,By Answer Type,By Answer Type,Overall
,Yes/No,Other,Number
1100007,Arthurs,54.85 (1),73.69 (1),,,,
417305,yuz,45.63 (2),71.48 (2),,,,
534336,lukelao,45.48 (3),69.94 (3),,,,
377734,haoqi,41.34 (6),69.94 (3),,,,
400256,zeev,42.52 (5),69.23 (4),,,,
486448,user-peng,44.16 (4),69.22 (5),,,,
394405,blabla,40.99 (10),68.14 (6),,,,
402190,goog,38.67 (24),67.87 (7),,,,
382227,jongryul.lee,41.09 (9),67.64 (8),,,,
479644,antony11,41.30 (7),67.64 (8),,,,
394639,UPMC-LIP6,39.79 (14),67.36 (9),,,,
436801,aosman,40.02 (13),67.16 (10),,,,
344861,jnhwkim.mlb,39.07 (22),66.89 (11),,,,
237311,daylen,39.47 (16),66.47 (12),,,,
380365,David_Yu,41.27 (8),66.15 (13),,,,
398672,ACM_MM,38.11 (28),65.92 (14),,,,
464935,MingruiLao,39.28 (17),65.92 (14),,,,
423083,huichanchen,37.45 (35),65.90 (15),,,,
466390,minhmanutd,37.42 (36),65.81 (16),,,,
1072234,nikki,39.12 (21),65.65 (17),,,,
387514,nrajani,38.08 (29),65.44 (18),,,,
463680,NUDT_DM_Class,37.80 (32),65.18 (19),,,,
236421,hyeonseob,38.70 (23),64.79 (20),,,,
476247,lmr209209209,39.69 (15),64.67 (21),,,,
396475,vkazemi,39.15 (19),64.58 (22),,,,
432635,sunzhen_qq,40.04 (12),64.44 (23),,,,
237771,HyeonwooNoh,38.02 (30),64.12 (24),,,,
399055,QingLi,40.72 (11),64.11 (25),,,,
430343,Rayen_20154227031,38.34 (25),63.88 (26),,,,
237491,jnhwkim,39.14 (20),63.18 (27),,,,
426018,gyzjay,36.02 (48),62.26 (28),,,,
237551,jw2yang,38.22 (26),62.06 (29),,,,
237101,MIL,37.84 (31),61.72 (30),,,,
237391,klab.vqa,39.27 (18),61.69 (31),,,,
233941,bzwwtl,36.81 (42),60.76 (32),,,,
182901,gpgpu_,36.65 (44),60.71 (33),,,,
119601,cxiong,36.82 (41),60.36 (34),,,,
400773,stellastra,38.14 (27),59.62 (35),,,,
399048,abhshkdz,36.99 (38),59.55 (36),,,,
159321,testing_11,35.67 (49),59.54 (37),,,,
119911,Q.Wu,37.12 (37),59.44 (38),,,,
217691,jacobandreas2,37.48 (34),59.44 (38),,,,
407773,j1ml3e,36.66 (43),59.14 (39),,,,
435899,sarvesh,36.98 (39),58.63 (40),,,,
171041,global_vision,36.27 (47),58.43 (41),,,,
247891,xiaobai,37.53 (33),58.24 (42),,,,
109581,vqateam-deeperLSTM_NormlizeCNN,36.53 (45),58.16 (43),,,,
201321,mujtaba,36.92 (40),57.36 (44),,,,
414938,goncalomcorreia,34.28 (54),56.02 (45),,,,
167561,metalbubble,34.98 (52),55.89 (46),,,,
237421,lvapeab,36.33 (46),55.77 (47),,,,
96731,vqateam-lstm_cnn,35.55 (51),54.06 (48),,,,
398100,ZJU_ly,29.72 (55),50.13 (49),,,,
96871,vqateam-q_lstm_alone,34.94 (53),48.89 (50),,,,
160161,vqateam-nearest_neighbor,24.31 (56),42.73 (51),,,,
96761,vqateam-prior_per_qtype,35.63 (50),37.55 (52),,,,
96751,vqateam-all_yes,0.43 (57),29.72 (53),,,,
