submission_pk,User,Mean RMS,Std RMS,RMSE - Reported 5-fold CV,Mean r,Std r,r - Reported 5-fold CV
7451,alexander.mendelson.11,-100.000 (1),-100.000 (51),-100.000 (36),-100.000 (51),-100.000 (51),-100.000 (35),
8101,alexander.meson,-100.000 (1),-100.000 (51),-100.000 (36),-100.000 (51),-100.000 (51),-100.000 (35),
8151,joseh8510,-100.000 (1),-100.000 (51),-100.000 (36),-100.000 (51),-100.000 (51),-100.000 (35),
8591,alexandermendelson,-100.000 (1),-100.000 (51),-100.000 (36),-100.000 (51),-100.000 (51),-100.000 (35),
7821,andrea.tateo,1.035 (2),0.077 (46),0.972 (14),0.644 (10),0.059 (39),0.910 (23),
7811,sonia.tangaro,1.084 (3),0.073 (47),0.820 (26),0.668 (2),0.053 (49),0.940 (9),
7891,sonia.tangaro2,1.086 (4),0.073 (48),0.820 (26),0.668 (3),0.053 (47),0.940 (9),
7401,david.robben,1.117 (5),0.067 (50),0.870 (23),0.656 (7),0.074 (11),0.924 (16),
7791,nicola.amoroso,1.198 (6),0.070 (49),0.769 (31),0.657 (6),0.063 (33),0.947 (4),
8441,rosangela.errico,1.223 (7),0.077 (45),0.783 (29),0.672 (1),0.053 (48),0.945 (5),
8631,simon.duchesne,1.237 (8),0.085 (42),0.873 (22),0.630 (16),0.055 (44),0.922 (17),
8461,alfonso.monaco,1.239 (9),0.078 (44),0.873 (21),0.659 (5),0.055 (45),0.910 (22),
7831,paolo.ingls,1.290 (10),0.083 (43),0.987 (13),0.654 (8),0.051 (50),0.911 (21),
8801,m.goetz,1.324 (11),0.169 (1),1.406 (3),0.480 (43),0.090 (5),0.811 (32),
8231,a00789505,1.347 (12),0.105 (29),1.127 (9),0.661 (4),0.064 (32),0.882 (28),
8241,a00811434,1.358 (13),0.104 (31),1.153 (8),0.652 (9),0.065 (31),0.876 (29),
7341,virgile.fritsch,1.419 (14),0.105 (28),0.786 (28),0.635 (12),0.059 (41),0.943 (6),
7371,virgile.fritsch+mlc2014_3,1.421 (15),0.107 (26),0.786 (28),0.633 (13),0.059 (38),0.943 (6),
7361,virgile.fritsch+mlc2014_2,1.421 (16),0.106 (27),0.786 (28),0.633 (14),0.059 (40),0.943 (6),
7671,wakamo,1.476 (17),0.086 (40),0.926 (17),0.460 (44),0.082 (8),0.927 (15),
7661,onyme.anne,1.477 (18),0.088 (37),0.926 (17),0.458 (45),0.084 (6),0.927 (15),
7681,nicolas.cordier,1.478 (19),0.087 (38),0.926 (17),0.457 (46),0.083 (7),0.927 (15),
8201,amtorteya,1.503 (20),0.120 (22),0.648 (34),0.590 (21),0.062 (35),0.941 (8),
8121,jose.cpadilla,1.504 (21),0.120 (21),0.648 (34),0.591 (20),0.061 (36),0.941 (8),
7921,matthieu.le,1.561 (22),0.086 (39),1.056 (11),0.639 (11),0.054 (46),0.928 (12),
8041,robbendavid,1.617 (23),0.085 (41),0.933 (16),0.568 (24),0.068 (18),0.927 (14),
7281,congjinyu1231,1.632 (24),0.127 (15),1.598 (2),0.527 (32),0.067 (25),0.741 (34),
7291,1058049527,1.632 (25),0.129 (7),1.598 (2),0.526 (37),0.067 (23),0.741 (34),
7261,sadoii,1.632 (26),0.128 (11),1.598 (2),0.527 (35),0.067 (27),0.741 (34),
7221,weiyi1991,1.633 (27),0.129 (8),1.598 (2),0.527 (33),0.068 (17),0.741 (34),
7301,407223471,1.634 (28),0.128 (9),1.598 (2),0.527 (31),0.067 (20),0.741 (34),
7241,547901203,1.634 (29),0.126 (16),1.598 (2),0.526 (39),0.067 (21),0.741 (34),
7231,sd.ve91,1.634 (30),0.127 (13),1.598 (2),0.526 (38),0.067 (26),0.741 (34),
