submission_pk,User,RMSE,RMSE@10,RMSE@20,RMSE@30,RMSE@40
586253,oyx,0.50157 (1),0.80027 (105),0.68195 (107),0.60493 (107),0.54541 (107),
819364,sn914,0.51356 (2),0.80685 (103),0.69514 (105),0.61576 (105),0.55770 (105),
817422,RamPopat,0.51441 (3),0.82154 (100),0.70160 (102),0.62143 (103),0.56073 (103),
895593,kdehumor,0.51473 (4),0.88405 (77),0.74618 (78),0.64926 (84),0.57369 (95),
818322,xuming5849,0.51615 (5),0.79740 (106),0.68603 (106),0.60994 (106),0.55629 (106),
604439,Pramodith,0.51695 (6),0.82450 (99),0.69790 (104),0.61897 (104),0.56023 (104),
817334,ymzhang,0.51760 (7),0.83442 (92),0.71352 (95),0.62881 (100),0.56631 (102),
737085,SparkersTroy,0.51996 (8),0.83108 (95),0.71228 (96),0.62894 (99),0.56775 (101),
655274,ZiyangLin,0.52054 (9),0.84302 (90),0.71518 (93),0.63145 (97),0.56844 (100),
576315,ttzhang,0.52187 (10),0.85769 (82),0.72911 (88),0.64118 (88),0.57365 (96),
816908,yizhiai1994,0.52315 (11),0.84493 (89),0.71779 (91),0.63346 (95),0.57083 (98),
816789,JiayingCai,0.52393 (12),0.82674 (96),0.70694 (99),0.62570 (102),0.56935 (99),
657790,YuWang17,0.52773 (13),0.83383 (93),0.71366 (94),0.63123 (98),0.57274 (97),
570476,Ferryman,0.52776 (14),0.83953 (91),0.72031 (90),0.63722 (92),0.57503 (94),
818666,YunMao,0.53059 (15),0.84610 (88),0.72284 (89),0.63976 (89),0.57801 (91),
694315,Zexuj,0.53065 (16),0.89864 (72),0.75734 (73),0.65832 (80),0.58626 (86),
604901,rtdesetty,0.53259 (17),0.86191 (79),0.73269 (85),0.64732 (86),0.58267 (88),
646624,docekal,0.53336 (18),0.82605 (98),0.71130 (97),0.63497 (93),0.57611 (93),
586864,Farah,0.53396 (19),0.90910 (67),0.76645 (69),0.66720 (74),0.59243 (78),
604451,theoliao,0.53466 (20),0.85477 (84),0.73183 (86),0.64650 (87),0.58343 (87),
575088,Mjason,0.53518 (21),0.87481 (78),0.74673 (77),0.65606 (81),0.58769 (84),
675892,VoMinhTam,0.53630 (22),0.88644 (75),0.74976 (76),0.65843 (79),0.58955 (80),
687377,Klaus,0.53693 (23),0.81642 (101),0.69901 (103),0.62770 (101),0.57670 (92),
810433,paragrapharamus,0.53754 (24),0.83339 (94),0.71703 (92),0.63942 (90),0.58122 (90),
818425,JN,0.54060 (25),0.85477 (85),0.73066 (87),0.64838 (85),0.58703 (85),
809172,theocheynel,0.54082 (26),0.88504 (76),0.75157 (75),0.66016 (77),0.59364 (77),
818814,kk617,0.54084 (27),0.85505 (83),0.73365 (84),0.64928 (83),0.58832 (83),
814144,ali.ghachem17,0.54370 (28),0.81127 (102),0.70446 (100),0.63373 (94),0.58263 (89),
818547,yz10020,0.54378 (29),0.85069 (87),0.73478 (83),0.64988 (82),0.58953 (81),
686554,Eric_YuMo,0.54402 (30),0.89886 (71),0.76268 (71),0.66908 (71),0.59867 (76),
589189,Buhscitu,0.54558 (31),0.90077 (69),0.76379 (70),0.67021 (70),0.59988 (74),
816126,jce317,0.54927 (32),0.89077 (73),0.75669 (74),0.66729 (73),0.60194 (71),
819236,lupos,0.54949 (33),0.88905 (74),0.75871 (72),0.66784 (72),0.60150 (72),
601758,cseligson,0.55019 (34),0.90634 (68),0.77340 (67),0.67619 (69),0.60613 (70),
586551,Jiajun,0.55087 (35),0.91140 (66),0.77551 (66),0.67825 (67),0.60654 (69),
606390,aniton,0.55298 (36),0.78974 (107),0.70163 (101),0.63314 (96),0.58838 (82),
816358,sa3120,0.55348 (37),0.92061 (64),0.78188 (65),0.68290 (66),0.61070 (67),
816410,jtang98,0.55361 (38),0.80331 (104),0.70744 (98),0.63759 (91),0.59147 (79),
816402,vadimbec,0.55461 (39),0.85962 (80),0.74220 (80),0.65936 (78),0.59934 (75),
818512,my1817,0.55547 (40),0.85828 (81),0.74382 (79),0.66090 (76),0.60103 (73),
828706,snow2512,0.55601 (41),0.93376 (63),0.78721 (63),0.68904 (63),0.61473 (64),
659106,ChengyiZhao,0.55676 (42),0.89886 (70),0.76817 (68),0.67714 (68),0.60837 (68),
829425,BillChen2k,0.55683 (43),0.93680 (62),0.79245 (62),0.69036 (62),0.61578 (63),
814359,pathend98,0.55695 (44),0.91946 (65),0.78527 (64),0.68649 (64),0.61397 (65),
817406,hz520,0.56145 (45),0.94237 (61),0.79387 (61),0.69516 (61),0.61966 (62),
811429,ed_hayes_icl,0.56227 (46),0.95892 (53),0.80939 (56),0.70463 (57),0.62539 (60),
687478,xiafanzeng,0.56414 (47),0.94752 (59),0.80302 (59),0.70037 (60),0.62426 (61),
819490,AtomAtijit,0.56489 (48),0.95766 (55),0.80546 (58),0.70298 (58),0.62569 (59),
815430,DanMarwanAnna,0.56894 (49),0.94244 (60),0.80152 (60),0.70195 (59),0.62713 (58),
815344,Haoguo,0.56993 (50),0.97172 (48),0.81767 (53),0.71346 (54),0.63295 (55),
686831,Bryce-Yang-Li,0.57061 (51),0.97671 (41),0.82359 (47),0.71644 (52),0.63481 (54),
825103,simonqin,0.57077 (52),0.97630 (43),0.82267 (50),0.71673 (51),0.63506 (53),
818645,Xian.Zhao,0.57101 (53),0.95426 (57),0.80866 (57),0.70748 (56),0.63098 (57),
640022,rabbitsheep,0.57225 (54),0.97577 (45),0.82360 (46),0.71729 (49),0.63639 (52),
659948,lorettaxux,0.57331 (55),0.97638 (42),0.82354 (48),0.71719 (50),0.63688 (51),
678356,Qitong,0.57335 (56),0.98374 (29),0.82852 (36),0.72067 (46),0.63844 (49),
814258,billpwchan,0.57390 (57),0.85128 (86),0.73720 (82),0.66274 (75),0.61191 (66),
658802,zblcving,0.57395 (58),0.98277 (30),0.82803 (38),0.72095 (43),0.63901 (48),
816141,Qingwei_Li,0.57413 (59),0.95918 (52),0.81209 (55),0.70840 (55),0.63289 (56),
822465,acc19hj,0.57416 (60),0.98641 (18),0.83051 (29),0.72223 (39),0.63952 (47),
647923,sgallon,0.57454 (61),0.98609 (21),0.83059 (27),0.72249 (37),0.63986 (46),
629855,VMAtm,0.57470 (62),0.98548 (23),0.83020 (32),0.72239 (38),0.63991 (45),
829351,William_yan,0.57471 (63),0.98616 (19),0.83064 (26),0.72266 (34),0.64004 (44),
786934,joe_stacey,0.57471 (63),0.98616 (19),0.83064 (26),0.72266 (34),0.64004 (44),
677265,juliaive,0.57471 (63),0.98616 (19),0.83064 (26),0.72266 (34),0.64004 (44),
657794,RasalasJau,0.57471 (63),0.98616 (19),0.83064 (26),0.72266 (34),0.64004 (44),
571065,yanghaocsg,0.57471 (63),0.98616 (19),0.83064 (26),0.72266 (34),0.64004 (44),
