submission_pk,User,PSNR,SSIM,Runtime per image [s],Parameters,Extra Data [1] / No Extra Data [0]
655242,hcwang,28.7128 (10),0.8284 (8),0.1640 (15),558540.0 (11),1.0 (1),
655235,qiuzhangTiTi,28.6035 (18),0.8251 (18),0.0300 (3),0.0 (2),1.0 (1),
654924,sudo,28.7827 (3),0.8291 (4),2.6500 (21),776968.0 (19),1.0 (1),
655092,zzzhy,28.7013 (12),0.8278 (11),0.0758 (10),272419.0 (4),1.0 (1),
655089,raoumer,27.7665 (24),0.7990 (24),3.2851 (22),46995.0 (3),1.0 (1),
655051,xiaochuanLi,28.6989 (13),0.8276 (13),0.0407 (6),599880.0 (12),1.0 (1),
654973,hrishikeshps,28.7417 (6),0.8303 (3),0.0040 (2),1378087.0 (22),1.0 (1),
654825,ppplang,28.6817 (16),0.8269 (17),0.0950 (11),660536.0 (14),1.0 (1),
653470,TinyJie,28.7470 (5),0.8287 (6),0.0317 (5),433448.0 (7),1.0 (1),
652915,Now,28.6917 (14),0.8274 (14),0.0310 (4),687056.0 (16),1.0 (1),
652786,chensa,28.7180 (8),0.8281 (10),0.1210 (12),353827.0 (5),1.0 (1),
650832,martyste,28.7108 (11),0.8277 (12),0.1250 (13),1126941.0 (20),1.0 (1),
649091,BearMaxZJU,28.7390 (7),0.8287 (7),0.1380 (14),516307.0 (9),1.0 (1),
655220,sysu_wxh,28.5427 (19),0.8233 (19),0.0610 (8),488105.0 (8),0.0 (2),
655099,arian88,28.5336 (20),0.8228 (20),0.3191 (19),632076.0 (13),0.0 (2),
654960,SuckChen,28.7715 (4),0.8290 (5),2.2000 (20),691980.0 (17),0.0 (2),
654899,neptuneai,28.8420 (2),0.8316 (2),0.3000 (17),1227587.0 (21),0.0 (2),
654839,Zhang9678,28.4995 (21),0.8223 (21),0.1750 (16),664328.0 (15),0.0 (2),
654817,tongtong,29.1351 (1),0.8388 (1),13.0000 (24),0.0 (2),0.0 (2),
653852,ms_ipcv,28.6762 (17),0.8271 (16),0.3100 (18),752232.0 (18),0.0 (2),
652890,HiImageTeam,28.6840 (15),0.8273 (15),0.0500 (7),530419.0 (10),0.0 (2),
648902,suen,28.4224 (22),0.8199 (22),0.0686 (9),364726.0 (6),0.0 (2),
648816,nancy_mehta,28.1171 (23),0.8110 (23),6.4300 (23),0.0 (2),0.0 (2),
654731,ysb,28.7167 (9),0.8282 (9),-1.0000 (1),-1.0 (1),-1.0 (3),
