submission_pk,User,Average Miss Rate (Reasonable)
630975,DeepBlueAI,0.104924 (1),
630991,shinya7y,0.108452 (2),
630968,dereyly,0.121554 (3),
630826,svenkreiss,0.298311 (4),
630686,madamada,0.333040 (5),
630068,kelispinor,0.458678 (6),
630099,roger19,- (7),
627803,westbrook,- (7),
submission_pk,User,Average Miss Rate (Reasonable)
630975,DeepBlueAI,0.104303 (1),
630991,shinya7y,0.108452 (2),
627803,westbrook,0.113265 (3),
630099,roger19,0.150795 (4),
630968,dereyly,- (5),
630826,svenkreiss,- (5),
630686,madamada,- (5),
630068,kelispinor,- (5),
submission_pk,User,Average Miss Rate (Reasonable)
630991,shinya7y,0.056681 (1),
630975,DeepBlueAI,0.080633 (2),
630686,madamada,0.777680 (3),
630099,roger19,- (4),
627803,westbrook,- (4),
630968,dereyly,- (4),
630826,svenkreiss,- (4),
630068,kelispinor,- (4),
