submission_pk,User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration
20921,aad_freiburg,2.80 (1),0.5096 (1),0.6059 (4),0.6270 (3),0.5802 (1),0.8778 (5),5988.07 (3),
20531,jrl44,3.80 (2),0.4856 (2),0.6276 (1),0.5993 (5),0.5292 (3),0.8711 (8),5986.54 (4),
21011,tadej,4.20 (3),0.4309 (9),0.6207 (3),0.7468 (1),0.5549 (2),0.8749 (6),2727.99 (61),
20481,jose,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),4099.20 (29),
20491,HarryLiu,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),4013.88 (47),
20521,ngthuydiem,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),4001.60 (53),
20541,aiva,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),4037.85 (39),
20561,zaiwei,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),3827.53 (57),
20581,g.cawley,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),3998.32 (54),
20601,backstreet.bayes,4.80 (4),0.4626 (5),0.6264 (2),0.6001 (4),0.5030 (6),0.8735 (7),5999.39 (2),
20621,ylee373,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),4012.99 (48),
20641,zhenwen,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),4037.39 (40),
20681,guyon,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),4006.35 (51),
20691,justrun,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),4088.58 (31),
20701,haoyouqu,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),4016.05 (45),
20711,wchang44,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),4020.63 (43),
20721,ChenLi,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),3823.87 (58),
20751,Rong,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),4014.79 (46),
20771,Muser_Hao,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),3980.53 (56),
20781,abhishek4,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),4053.67 (36),
20801,dstarer,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),4088.96 (30),
20811,Anders,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),4021.99 (42),
20821,Minjie_Fan,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),4031.13 (41),
20871,joyce,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),4064.32 (35),
20901,zzelig,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),3984.66 (55),
20911,danny7,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),4084.33 (33),
20931,wyl,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),4040.18 (38),
20961,jana.kludas,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),4044.38 (37),
20971,chenjing,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),4010.20 (50),
21001,wsmath1234,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),4085.88 (32),
21021,topshell,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),3816.00 (59),
21041,xsong6,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),4011.65 (49),
21051,cengstrom2,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),4071.14 (34),
21071,shizhen,4.80 (4),0.4722 (4),0.5524 (8),0.5324 (6),0.5244 (4),0.8934 (2),4017.31 (44),
20441,MasterBlaster,5.00 (5),0.4453 (8),0.6014 (5),0.6493 (2),0.4768 (7),0.8795 (3),3495.50 (60),
