submission_pk,User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration
49711,backstreet.bayes,1.80 (1),0.3193 (3),0.9198 (1),0.3361 (1),0.3495 (2),0.2351 (2),5954.71 (2),
50121,lukasz.romaszko,3.80 (2),0.3304 (2),0.6662 (4),0.2647 (5),0.3440 (3),0.2194 (5),711.28 (9),
84611,aad_freiburg,3.80 (2),-1.0000 (10),0.8688 (2),0.3214 (2),0.3357 (4),0.2386 (1),5987.17 (1),
51161,marc.boulle,4.40 (3),0.3533 (1),0.4561 (7),0.2130 (7),0.3692 (1),0.1434 (6),4315.09 (8),
50281,ideal.intel.analytics,4.60 (4),0.3128 (4),0.5915 (6),0.2976 (4),0.3027 (5),0.2202 (4),4805.10 (6),
50221,abhishek4,4.80 (5),0.3089 (5),0.5915 (6),0.2976 (4),0.3027 (5),0.2202 (4),4743.89 (7),
51071,matthias.vonrohr,4.80 (5),0.3029 (7),0.5939 (5),0.3064 (3),0.2994 (6),0.2220 (3),4964.44 (4),
50601,guyon,5.00 (6),0.3031 (6),0.5915 (6),0.2976 (4),0.3027 (5),0.2202 (4),4823.69 (5),
49791,tadej,6.60 (7),0.2956 (8),0.7164 (3),0.2616 (6),0.1403 (8),0.0003 (8),5439.29 (3),
49861,Geek,7.80 (8),0.2550 (9),0.0583 (8),0.1052 (8),0.2194 (7),0.0068 (7),679.30 (10),
