submission_pk,User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration
194691,aad_freiburg,1.2000 (9),0.6530 (1),0.5175 (1),0.2843 (1),0.7821 (1),0.3823 (2),8.04 (7),
194681,postech.mlg_exbrain,5.6000 (5),0.6123 (2),0.2521 (8),0.2583 (3),0.4120 (7),0.1985 (8),3477.54 (4),
194101,aad_freiburg_verif,3.4000 (8),0.5947 (3),0.4537 (6),0.2680 (2),0.7575 (3),0.3778 (3),5.02 (8),
195241,verification_of_james_loyd,7.2000 (2),0.5921 (4),-1.0000 (9),0.0621 (8),0.5337 (6),0.0225 (9),3197.38 (5),
194671,djajetic,6.0000 (4),0.5898 (5),0.4889 (5),0.1497 (7),0.3924 (8),0.2900 (5),5842.24 (1),
397793,lise_sun,6.0000 (4),0.5898 (5),0.4906 (4),0.1497 (7),0.3924 (8),0.2528 (6),5841.88 (2),
195221,verif_of_lin_sun,6.2000 (3),0.5895 (6),0.4189 (7),0.2022 (6),0.5986 (5),0.2415 (7),5549.58 (3),
194111,djajetic_verif,4.2000 (6),0.5869 (7),0.5061 (2),0.2469 (4),0.7501 (4),0.3654 (4),131.56 (6),
194091,abhishek4_verif,3.8000 (7),0.5626 (8),0.4993 (3),0.2374 (5),0.7625 (2),0.3840 (1),2.02 (9),
195231,verif,3.8000 (7),0.5626 (8),0.4993 (3),0.2374 (5),0.7625 (2),0.3840 (1),2.01 (10),
1130292,hungnm,9.2000 (1),-1.0000 (9),-1.0000 (9),-1.0000 (9),-1.0000 (9),-1.0000 (10),0.00 (11),
